评论内容,评分,标题,作者,地区
一天天乱发些通知还关不掉,1,乱通知,dsgykd,TW
一直說沒網路，網頁出問題,1,網頁出問題,呂蘇慈,TW
查看訂單後下方欄目消失無法回到首頁,2,ipad下方欄目會消失,day0938111191,TW
好吃的店家能收藏，但吃到不好吃或是缺斤少兩、圖文不符合的店家，都沒有可以拉黑避雷的選項，建議新增，謝謝,5,建議新增拉黑名單,Eliox2,TW
騎手根本不會負責,1,一幫賊,丹玖谷,TW
為啥我網路滿格 上面顯示 網路不給力？ 有沒有好好維護？ 工作人員在幹嘛？,1,我網路滿格,12334689928483,TW
"手機都對，在智能櫃前眼睜睜看著餐點而拿不到的心情真的很哭，打給客服也無法解決問題，然後可以實名認證取餐一次
但…我無法接收到認證啊！！！站在智能櫃前試了一個多小時放棄了…
只差最後一步，萬丈深淵餓肚子睡了",1,一定要有中國電話才能智能櫃取餐，沒有的話請騎手送到門口或放櫃檯,羅德萬歲,TW
不能关，不能静音。,1,客户端直播功能跟屎一样,反华者不得好死,TW
退回一直點不到，分享靈敏到不要不要的，好個優化😏,1,體驗優化？,😍🥰😘🥴,TW
我埃及吧想停哪就停、我停我们家小区门口咋了？？？？？能不能智能点啊我请问呢？,1,那个美团停车的那个,多头发巨佛强大,TW
"我是天津禧悦丽尊酒店的总经理曹诚心。
我们酒店基于管理及给客户留下美好的印象，有要求所有的快递、送餐人员不要从酒店的大堂进入（因为有些工作人员服装仪容非常的差），也有要求工作人员的车辆不得骑上大门，避免阻礙大门前的交通。
可是贵公司有一位骑手（目前只有贵公司的这一位骑手）屡次规劝不听，造成我们酒店管理上极大的困扰，麻烦贵公司能纠正这位骑手的行为。如果需要照片，我们都有拍照，也可以和我们的保安人员了解详细情况。骑手的照片及电单车的车号，我们都已留存，欢迎查证！",3,投诉,曹诚心,TW
台灣手機無法註冊啊！ 來旅遊想知道大陸多方便也無法體驗,1,台灣手機無法註冊啊！,123444無言,TW
出現身分驗證請協助解鎖,1,解鎖,Ryan0066,TW
"如標題
多次嘗試聯絡人工客服 依然給出無法創建的答案
客服表示去提出申訴卻給出可能不是大陸手機格式所以不能使用 那我就請問了！給個台灣地區選項然後台灣地區的使用者用台灣號碼不能創建到底是怎樣？選項掛擺設就對了啦😡 這樣造成我嚴重困擾 要不是評論最低就是一星不然我連一星都不想給 真的很扯🤬",1,台灣地區手機號碼無法註冊,.凱凱.,TW
程式是真难用，卡顿,1,服务可以,cnxjjxjx,TW
极速付款太讨厌了 还不能关掉 每次都在最前面 一不小心就会按到 真是店大欺客 差评,1,付款方式让我讨厌,名字长才会显得比较列害,TW
棒,5,快又好,士林阿誠,TW
持續維持,5,👌🏻👌🏻👌🏻👌🏻👌🏻,高捷大哥,TW
不错不错,5,好👌,Crllet Yhuij,TW
实用，快捷，满足,5,就是方便,阳明散仙,TW
美团越来越夸张了，骑手都是掐着时间给你送来，两百来米的距离总是会在超时前一分钟送到或者就是超时了点提前点送达，点了那么多次外卖从来没差评过、想着骑手不容易，也没计较，但是在取餐前强制性的把手机拿过去点五星好评的操作真的是让人大跌眼镜，导致了好评过后的东西咸得无法下嘴还给不了差评，醉了,1,骑手在你取餐之前把手机拿过去强制好评,ckioes,TW
能讓台灣人也可以使用嗎 不然都無法給異地女友點外賣,1,希望能盡快改善,qaz8098,TW
選項太複雜,3,選項太複雜,Faith1126,TW
点了五宝饭，加点一份炖汤。炖汤没来！,1,少送炖汤,芝芝和寶石,TW
整个袋子都是汤汁,2,汤汁都流光光了,風流博浪,TW
"一直叫我換成中國門號麻煩死了都不能用
強烈建議加入visa刷卡功能",2,改綁台灣門號 加入visa刷卡功能,1020690,TW
太多广告，感覺很不舒服。,3,太多广告,zq137,TW
因为工作不能下去取，希望下次可以送上楼谢谢,5,不送上喽,juju yam,TW
要绑定银行卡，结果身份证号码只能输入本地居民身份证，没有证件类型选择，台胞证号码不能绑定，造成不方便。,2,绑定银行卡，台胞证不可使用。,陈总会长,TW
"點結算就跳一次 就跳一次

不能綁台灣號 就不要讓人選台灣地區啊 

有毒啊",1,是一直更改手機號鬼打牆喔,不知道 你好不好,TW
方便快速，推！,5,美團推,小泰倫,TW
速度很快，很不錯,5,服務好,PeterFang,TW
提早提醒骑手送餐时间，一样迟到了，但人工客服告知已经送达，骑手客服又说还没送，花了40分钟都没有解决问题，最后还没有吃到。,1,平台咨询混乱,Review AT,TW
超方便 超赞 给大家带来很大的方便 超感谢！❤️🌹,5,👍,huangconghui,TW
謝謝外賣小哥，衷心感謝！,5,謝謝外賣小哥！非常溫暖敬業！必須好評,板橋范逸臣,TW
隔離期間幸好有你們的努力工作，讓我們隔離者可以獲得好吃😋好方便的隔離生活品質。騎手辛苦了！感恩哦,5,騎手辛苦了,臺灣忠哥,TW
每次都逾時,1,差評,cheng zei,TW
首次使用，方便又有優惠，值得推廣,5,美團外賣,全家新莊,TW
👍,5,方便快速,bi338,TW
